Date,Boro,Vol
2009-03-13,Staten Island,428.0
2009-03-14,Queens,8147.0
2009-03-14,Staten Island,4.0
2009-03-15,Queens,7565.0
2009-03-16,Queens,10761.0
2009-03-17,Queens,11985.0
2009-03-18,Queens,12090.0
2009-03-19,Queens,9899.0
2009-03-20,Bronx,5892.0
2009-03-20,Queens,938.0
2009-03-21,Bronx,1183.0
2009-03-21,Queens,7495.0
2009-03-21,Staten Island,3553.0
2009-03-22,Queens,7120.0
2009-03-22,Staten Island,3191.0
2009-03-23,Queens,9895.0
2009-03-23,Staten Island,4446.0
2009-03-24,Queens,9881.0
2009-03-24,Staten Island,4495.0
2009-03-25,Queens,9887.0
2009-03-25,Staten Island,4634.0
2009-03-26,Queens,9870.0
2009-03-26,Staten Island,4463.0
2009-03-27,Bronx,9314.0
2009-03-27,Queens,5462.0
2009-03-27,Staten Island,7359.0
2009-03-28,Bronx,41947.0
2009-03-29,Bronx,33732.0
2009-03-30,Bronx,38038.0
2009-03-31,Bronx,37807.0
2009-04-01,Bronx,38188.0
2009-04-02,Bronx,39601.0
2009-04-03,Bronx,39904.0
2009-04-04,Bronx,42301.0
2009-04-05,Bronx,28135.0
2009-04-05,Queens,5874.0
2009-04-05,Staten Island,2628.0
2009-04-06,Bronx,11756.0
2009-04-06,Brooklyn,5803.0
2009-04-06,Staten Island,4551.0
2009-04-07,Bronx,4849.0
2009-04-07,Brooklyn,21912.0
2009-04-08,Bronx,5442.0
2009-04-08,Brooklyn,23108.0
2009-04-09,Bronx,4974.0
2009-04-09,Brooklyn,21849.0
2009-04-10,Bronx,1155.0
2009-04-10,Brooklyn,21528.0
2009-04-10,Staten Island,7265.0
2009-04-11,Brooklyn,21378.0
2009-04-11,Staten Island,9853.0
2009-04-12,Brooklyn,18852.0
2009-04-12,Staten Island,8429.0
2009-04-13,Brooklyn,21247.0
2009-04-13,Staten Island,10757.0
2009-04-14,Brooklyn,20823.0
2009-04-14,Staten Island,10417.0
2009-04-15,Brooklyn,20455.0
2009-04-15,Staten Island,10202.0
2009-04-16,Brooklyn,21443.0
2009-04-16,Staten Island,10647.0
2009-04-17,Brooklyn,4853.0
2009-04-17,Staten Island,1478.0
2009-04-18,Brooklyn,5759.0
2009-04-18,Manhattan,3513.0
2009-04-18,Queens,1037.0
2009-04-19,Bronx,11485.0
2009-04-19,Brooklyn,7899.0
2009-04-19,Manhattan,1937.0
2009-04-19,Queens,252.0
2009-04-20,Bronx,7449.0
2009-04-20,Brooklyn,9993.0
2009-04-20,Manhattan,6443.0
2009-04-21,Brooklyn,11045.0
2009-04-21,Manhattan,7313.0
2009-04-22,Brooklyn,10906.0
2009-04-22,Manhattan,5695.0
2009-04-23,Brooklyn,10629.0
2009-04-23,Manhattan,5207.0
2009-04-24,Brooklyn,3535.0
2009-04-24,Manhattan,7311.0
2009-04-25,Brooklyn,2016.0
2009-04-25,Manhattan,3807.0
2009-04-26,Brooklyn,2834.0
2009-04-26,Manhattan,1869.0
2009-04-27,Brooklyn,2468.0
2009-04-27,Manhattan,6672.0
2009-04-27,Queens,7735.0
2009-04-28,Brooklyn,33193.0
2009-04-28,Manhattan,7022.0
2009-04-28,Queens,8860.0
2009-04-29,Bronx,452.0
2009-04-29,Brooklyn,20011.0
2009-04-29,Manhattan,7029.0
2009-04-29,Queens,8683.0
2009-04-30,Bronx,710.0
2009-04-30,Manhattan,7272.0
2009-04-30,Queens,8536.0
2009-05-01,Bronx,196.0
2009-05-01,Manhattan,7398.0
2009-05-01,Queens,2095.0
2009-05-02,Manhattan,4049.0
2009-05-03,Manhattan,1965.0
2009-05-04,Manhattan,2641.0
2009-05-05,Queens,6458.0
2009-05-06,Brooklyn,5279.0
2009-05-06,Queens,4203.0
2009-05-07,Brooklyn,18978.0
2009-05-07,Queens,2194.0
